+,j,s,k,y,g,l,a,v,x,n,d,t,w,b,+,+,+,+,p,+,+,c,+,h
i,g,+,c,n,+,s,+,w,h,+,x,+,q,+,a,d,b,+,l,+,p,t,+,+
e,+,t,p,o,u,k,i,n,y,s,h,a,c,m,q,w,v,r,j,+,+,+,+,+
+,+,r,+,d,e,p,+,q,b,g,+,+,v,y,+,c,+,t,f,+,+,u,o,w
v,+,+,h,w,+,f,+,d,c,p,l,r,+,o,i,+,+,x,k,+,a,q,e,n
+,a,x,v,s,c,w,n,k,l,o,p,h,u,d,y,i,+,b,e,+,t,+,+,g
d,h,o,t,+,+,a,e,+,m,v,+,l,x,+,c,k,r,+,g,f,b,+,+,u
w,p,y,+,q,x,o,g,+,s,i,j,m,b,k,t,v,+,l,n,c,e,h,d,a
+,e,+,m,l,+,u,q,+,r,t,+,w,a,+,x,s,o,d,h,v,n,+,y,i
b,u,n,f,c,d,t,h,+,v,r,g,+,y,+,j,+,p,+,w,k,o,s,x,l
+,v,h,+,j,i,c,+,+,n,a,t,k,o,+,b,+,y,+,+,q,+,f,m,+
s,+,e,+,+,+,v,b,h,w,+,q,g,m,l,+,n,j,i,r,+,c,o,+,y
r,n,+,i,+,j,e,l,u,+,h,f,y,+,w,+,o,t,+,+,+,v,a,k,b
+,o,+,g,f,r,d,y,+,+,e,+,+,+,c,k,+,w,s,m,+,+,n,u,+
+,y,+,+,+,f,x,m,p,+,d,b,n,+,j,+,h,a,c,u,w,+,i,g,e
c,+,q,b,v,+,n,p,+,f,+,w,+,k,h,+,+,e,u,s,a,g,m,i,+
y,w,l,e,g,h,+,v,c,a,b,r,+,+,i,+,x,n,f,q,d,u,k,s,p
m,i,j,u,+,t,+,d,r,e,q,y,s,+,a,w,p,c,k,v,+,+,+,h,o
o,s,a,+,k,+,q,u,+,+,+,+,+,f,n,+,+,l,g,b,+,y,v,j,+
h,r,f,+,p,s,j,k,o,g,+,u,d,+,v,m,+,i,+,t,+,x,b,+,q
x,+,d,+,b,v,y,o,+,j,+,a,+,n,+,p,f,k,h,i,u,q,e,r,+
g,q,w,+,+,+,h,+,t,+,y,m,v,p,+,+,e,d,n,c,i,j,x,+,s
f,+,p,j,+,+,i,x,l,d,k,s,b,e,u,r,t,q,v,o,g,+,+,n,m
n,+,i,y,+,q,+,w,e,u,l,o,+,d,t,s,b,+,+,a,h,+,p,+,+
+,+,+,a,e,+,+,c,s,+,+,i,q,h,x,u,m,g,w,+,o,l,d,b,f
